year,month_num,date,non_traffic_count,rolling_3mo_avg,prior_year_count,yoy_pct_change
2021,1,2021-01-01,21,21.0,,
2021,2,2021-02-01,9,15.0,,
2021,3,2021-03-01,15,15.0,,
2021,4,2021-04-01,6,10.0,,
2021,5,2021-05-01,13,11.3,,
2021,6,2021-06-01,14,11.0,,
2021,7,2021-07-01,15,14.0,,
2021,8,2021-08-01,22,17.0,,
2021,9,2021-09-01,11,16.0,,
2021,10,2021-10-01,5,12.7,,
2021,11,2021-11-01,12,9.3,,
2021,12,2021-12-01,17,11.3,,
2022,1,2022-01-01,19,16.0,21.0,-9.5
2022,2,2022-02-01,8,14.7,9.0,-11.1
2022,3,2022-03-01,19,15.3,15.0,26.7
2022,4,2022-04-01,12,13.0,6.0,100.0
2022,5,2022-05-01,20,17.0,13.0,53.8
2022,6,2022-06-01,16,16.0,14.0,14.3
2022,7,2022-07-01,12,16.0,15.0,-20.0
2022,8,2022-08-01,21,16.3,22.0,-4.5
2022,9,2022-09-01,14,15.7,11.0,27.3
2022,10,2022-10-01,15,16.7,5.0,200.0
2022,11,2022-11-01,10,13.0,12.0,-16.7
2022,12,2022-12-01,11,12.0,17.0,-35.3
2023,1,2023-01-01,14,11.7,19.0,-26.3
2023,2,2023-02-01,17,14.0,8.0,112.5
2023,3,2023-03-01,20,17.0,19.0,5.3
2023,4,2023-04-01,11,16.0,12.0,-8.3
2023,5,2023-05-01,18,16.3,20.0,-10.0
2023,6,2023-06-01,15,14.7,16.0,-6.2
2023,7,2023-07-01,21,18.0,12.0,75.0
2023,8,2023-08-01,15,17.0,21.0,-28.6
2023,9,2023-09-01,19,18.3,14.0,35.7
2023,10,2023-10-01,17,17.0,15.0,13.3
2023,11,2023-11-01,18,18.0,10.0,80.0
2023,12,2023-12-01,15,16.7,11.0,36.4
2024,1,2024-01-01,24,19.0,14.0,71.4
2024,2,2024-02-01,14,17.7,17.0,-17.6
2024,3,2024-03-01,20,19.3,20.0,0.0
2024,4,2024-04-01,25,19.7,11.0,127.3
2024,5,2024-05-01,27,24.0,18.0,50.0
2024,6,2024-06-01,25,25.7,15.0,66.7
2024,7,2024-07-01,20,24.0,21.0,-4.8
2024,8,2024-08-01,29,24.7,15.0,93.3
2024,9,2024-09-01,32,27.0,19.0,68.4
2024,10,2024-10-01,15,25.3,17.0,-11.8
2024,11,2024-11-01,14,20.3,18.0,-22.2
2024,12,2024-12-01,14,14.3,15.0,-6.7
2025,1,2025-01-01,18,15.3,24.0,-25.0
2025,2,2025-02-01,29,20.3,14.0,107.1
2025,3,2025-03-01,9,18.7,20.0,-55.0
2025,4,2025-04-01,19,19.0,25.0,-24.0
2025,5,2025-05-01,32,20.0,27.0,18.5
2025,6,2025-06-01,24,25.0,25.0,-4.0
2025,7,2025-07-01,37,31.0,20.0,85.0
2025,8,2025-08-01,14,25.0,29.0,-51.7
2025,9,2025-09-01,24,25.0,32.0,-25.0
2025,10,2025-10-01,24,20.7,15.0,60.0
2025,11,2025-11-01,18,22.0,14.0,28.6
2025,12,2025-12-01,18,20.0,14.0,28.6
2026,1,2026-01-01,22,19.3,18.0,22.2
2026,2,2026-02-01,17,19.0,29.0,-41.4
2026,3,2026-03-01,26,21.7,9.0,188.9
2026,4,2026-04-01,15,19.3,19.0,-21.1
